technology,airbending,source,DataManager@27.03.2019 13:31:43
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
St37,0.5,0.2,4,30,-7.018,0.011,0.5
St37,0.5,0.2,4,30.38,-6.943,0.004,0.5
St37,0.5,0.2,4,32.4,-6.375,-0.024,0.5
St37,0.5,0.2,4,35.6,-5.526,-0.074,0.5
St37,0.5,0.2,4,38.81,-4.832,-0.124,0.5
St37,0.5,0.2,4,42.45,-4.195,-0.178,0.5
St37,0.5,0.2,4,45,-3.829,-0.215,0.5
St37,0.5,0.2,4,46.48,-3.607,-0.237,0.5
St37,0.5,0.2,4,51.02,-3.082,-0.302,0.5
St37,0.5,0.2,4,55.97,-2.633,-0.372,0.5
St37,0.5,0.2,4,60,-2.292,-0.43,0.5
St37,0.5,0.2,4,61.61,-2.222,-0.452,0.5
St37,0.5,0.2,4,67.56,-1.876,-0.542,0.6
St37,0.5,0.2,4,73.85,-1.606,-0.648,0.6
St37,0.5,0.2,4,75,-1.542,-0.667,0.6
St37,0.5,0.2,4,81.38,-1.31,-0.793,0.6
St37,0.5,0.2,4,85.52,-1.185,-0.896,0.6
St37,0.5,0.2,4,90,-1.095,-1.095,0.7
St37,0.5,0.2,4,96.6,-0.903,0,0.7
St37,0.5,0.2,4,105,-0.746,0,0.8
St37,0.5,0.2,4,106.81,-0.683,0,0.8
St37,0.5,0.2,4,112.75,-0.592,0,0.9
St37,0.5,0.2,4,120,-0.461,0,1
St37,0.5,0.2,4,122.32,-0.457,0,1.1
St37,0.5,0.2,4,133.82,-0.325,0,1.4
St37,0.5,0.2,4,135,-0.278,0,1.4
St37,0.5,0.2,4,145.81,-0.215,0,1.9
St37,0.5,0.2,4,150,-0.203,0,2.3
St37,0.5,0.2,4,157.67,-0.125,0,3
St37,0.5,0.2,4,169.41,-0.053,0,6.3
St37,0.5,0.3,4,30,-7.018,0.011,0.5
St37,0.5,0.3,4,30.38,-6.943,0.004,0.5
