technology,airbending,source,DataManager@27.03.2019 13:31:39
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
AlMg3,0.5,0.2,4,30,-7.19,0,0.6
AlMg3,0.5,0.2,4,31.2,-6.9,0,0.6
AlMg3,0.5,0.2,4,34.2,-6.027,0,0.6
AlMg3,0.5,0.2,4,37.7,-5.18,0,0.6
AlMg3,0.5,0.2,4,41.3,-4.47,0,0.6
AlMg3,0.5,0.2,4,45,-3.922,0,0.6
AlMg3,0.5,0.2,4,45.1,-3.886,0,0.6
AlMg3,0.5,0.2,4,49.8,-3.292,-0.275,0.6
AlMg3,0.5,0.2,4,54.7,-2.806,-0.347,0.6
AlMg3,0.5,0.2,4,60,-2.343,-0.426,0.6
AlMg3,0.5,0.2,4,60.5,-2.352,-0.433,0.6
AlMg3,0.5,0.2,4,66.7,-1.969,-0.53,0.6
AlMg3,0.5,0.2,4,73.9,-1.608,-0.651,0.6
AlMg3,0.5,0.2,4,75,-1.574,-0.674,0.6
AlMg3,0.5,0.2,4,79.6,-1.423,-0.77,0.6
AlMg3,0.5,0.2,4,87.3,-1.163,-0.965,0.7
AlMg3,0.5,0.2,4,90,-1.119,-1.119,0.7
AlMg3,0.5,0.2,4,94.3,-0.971,0,0.7
AlMg3,0.5,0.2,4,105,-0.764,0,0.9
AlMg3,0.5,0.2,4,106.4,-0.715,0,0.9
AlMg3,0.5,0.2,4,117.2,-0.53,0,1
AlMg3,0.5,0.2,4,120,-0.474,0,1
AlMg3,0.5,0.2,4,123.2,-0.454,0,1.1
AlMg3,0.5,0.2,4,132.9,-0.337,0,1.3
AlMg3,0.5,0.2,4,135,-0.286,0,1.3
AlMg3,0.5,0.2,4,145.1,-0.222,0,1.8
AlMg3,0.5,0.2,4,150,-0.206,0,2.3
AlMg3,0.5,0.2,4,157,-0.131,0,2.9
AlMg3,0.5,0.2,4,168.8,-0.057,0,6.4
AlMg3,0.5,0.3,4,30,-7.19,0,0.6
AlMg3,0.5,0.3,4,31.2,-6.9,0,0.6
AlMg3,0.5,0.3,4,34.2,-6.027,0,0.6
AlMg3,0.5,0.3,4,37.7,-5.18,0,0.6
AlMg3,0.5,0.3,4,41.3,-4.47,0,0.6
AlMg3,0.5,0.3,4,45,-3.922,0,0.6
AlMg3,0.5,0.3,4,45.1,-3.886,0,0.6
AlMg3,0.5,0.3,4,49.8,-3.292,-0.275,0.6
AlMg3,0.5,0.3,4,54.7,-2.806,-0.347,0.6
AlMg3,0.5,0.3,4,60,-2.343,-0.426,0.6
AlMg3,0.5,0.3,4,60.5,-2.352,-0.433,0.6
AlMg3,0.5,0.3,4,66.7,-1.969,-0.53,0.6
AlMg3,0.5,0.3,4,73.9,-1.608,-0.651,0.6
AlMg3,0.5,0.3,4,75,-1.574,-0.674,0.6
AlMg3,0.5,0.3,4,79.6,-1.423,-0.77,0.6
AlMg3,0.5,0.3,4,87.3,-1.163,-0.965,0.7
AlMg3,0.5,0.3,4,90,-1.119,-1.119,0.7
AlMg3,0.5,0.3,4,94.3,-0.971,0,0.7
AlMg3,0.5,0.3,4,105,-0.764,0,0.9
AlMg3,0.5,0.3,4,106.4,-0.715,0,0.9
AlMg3,0.5,0.3,4,117.2,-0.53,0,1
AlMg3,0.5,0.3,4,120,-0.474,0,1
AlMg3,0.5,0.3,4,123.2,-0.454,0,1.1
AlMg3,0.5,0.3,4,132.9,-0.337,0,1.3
AlMg3,0.5,0.3,4,135,-0.286,0,1.3
AlMg3,0.5,0.3,4,145.1,-0.222,0,1.8
AlMg3,0.5,0.3,4,150,-0.206,0,2.3
AlMg3,0.5,0.3,4,157,-0.131,0,2.9
AlMg3,0.5,0.3,4,168.8,-0.057,0,6.4
