technology,airbending,source,DataManager@27.03.2019 13:31:40
@data
material,sheetThicknessMM,punchRadiusMM,dieWidthMM,angleDEG,bendDeductionTanMM,bendDeductionEdgeMM,radiusMM
QStE380TM,4,1,24,85.4,-7.62,-3.18,4
QStE380TM,4,1,24,89.3,-6.96,-6.71,3.4
QStE380TM,4,1,24,90,-6.85,-6.85,3.4
QStE380TM,4,1,24,92,-6.55,0,3.4
QStE380TM,4,1,24,95.7,-6.02,0,3.5
QStE380TM,4,1,24,99.8,-5.47,0,3.7
QStE380TM,4,1,24,104.9,-4.86,0,4.1
QStE380TM,4,1,24,105,-4.84,0,4.1
QStE380TM,4,1,24,108.4,-4.49,0,4.3
QStE380TM,4,1,24,112.5,-4.08,0,4.5
QStE380TM,4,1,24,117.1,-3.64,0,4.9
QStE380TM,4,1,24,120,-3.39,0,5.2
QStE380TM,4,1,24,121.8,-3.24,0,5.4
QStE380TM,4,1,24,126.4,-2.88,0,6.1
QStE380TM,4,1,24,132.1,-2.48,0,7.8
QStE380TM,4,1,24,135,-2.28,0,8
QStE380TM,4,1,24,137.5,-2.1,0,8.2
QStE380TM,4,1,24,142.5,-1.79,0,8.4
QStE380TM,4,1,24,147.5,-1.49,0,10.4
QStE380TM,4,1,24,150,-1.36,0,12.3
QStE380TM,4,1,24,152.4,-1.23,0,12.8
QStE380TM,4,1,24,157.3,-0.97,0,14.8
QStE380TM,4,1,24,162.2,-0.74,0,24.2
QStE380TM,4,1,24,167,-0.53,0,32.8
QStE380TM,4,1,24,171.7,-0.33,0,42.2
QStE380TM,4,1,24,176.8,-0.12,0,48
QStE380TM,5,4,30,87.3,-9.32,-8.16,5
QStE380TM,5,4,30,90,-8.82,-8.82,5.2
QStE380TM,5,4,30,90.6,-8.71,0,5.3
QStE380TM,5,4,30,93.7,-8.1,0,5.4
QStE380TM,5,4,30,97.1,-7.46,0,5.6
QStE380TM,5,4,30,100.9,-6.79,0,5.8
QStE380TM,5,4,30,104.3,-6.26,0,6
QStE380TM,5,4,30,105,-6.16,0,6
QStE380TM,5,4,30,107.9,-5.74,0,6.4
QStE380TM,5,4,30,111.5,-5.26,0,6.7
QStE380TM,5,4,30,115.2,-4.81,0,7
QStE380TM,5,4,30,119,-4.37,0,7.3
QStE380TM,5,4,30,120,-4.27,0,7.4
QStE380TM,5,4,30,122.8,-3.96,0,7.7
QStE380TM,5,4,30,126.7,-3.57,0,8.2
QStE380TM,5,4,30,130.6,-3.21,0,8.7
QStE380TM,5,4,30,134.5,-2.87,0,9.2
QStE380TM,5,4,30,135,-2.83,0,9.4
QStE380TM,5,4,30,138.5,-2.54,0,10.2
QStE380TM,5,4,30,142.7,-2.21,0,11
QStE380TM,5,4,30,146.7,-1.92,0,12.7
QStE380TM,5,4,30,150,-1.69,0,15.4
QStE380TM,5,4,30,150.7,-1.65,0,15.5
QStE380TM,5,4,30,154.6,-1.39,0,18.4
QStE380TM,5,4,30,158.5,-1.14,0,21.8
QStE380TM,5,4,30,162.4,-0.92,0,25.2
QStE380TM,5,4,30,166.3,-0.7,0,45.4
QStE380TM,5,4,30,170.2,-0.49,0,55.3
QStE380TM,5,4,30,174.1,-0.28,0,59
QStE380TM,5,4,30,177.6,-0.11,0,75
QStE380TM,5,4,40,88,-9.48,-8.53,5.7
QStE380TM,5,4,40,90,-9.1,-9.1,5.7
QStE380TM,5,4,40,90.3,-9.04,0,5.7
QStE380TM,5,4,40,92.2,-8.63,0,5.8
QStE380TM,5,4,40,94.4,-8.19,0,5.9
QStE380TM,5,4,40,96.6,-7.76,0,6.2
QStE380TM,5,4,40,98.9,-7.33,0,6.3
QStE380TM,5,4,40,101.2,-6.93,0,6.4
QStE380TM,5,4,40,103.5,-6.55,0,6.5
QStE380TM,5,4,40,105,-6.32,0,6.9
QStE380TM,5,4,40,106,-6.17,0,6.9
QStE380TM,5,4,40,108.5,-5.8,0,7.1
QStE380TM,5,4,40,110.9,-5.45,0,7.2
QStE380TM,5,4,40,113.4,-5.12,0,7.4
QStE380TM,5,4,40,116,-4.8,0,7.7
QStE380TM,5,4,40,118.6,-4.49,0,8
QStE380TM,5,4,40,120,-4.33,0,8.3
QStE380TM,5,4,40,121.3,-4.18,0,8.3
QStE380TM,5,4,40,124,-3.89,0,9
QStE380TM,5,4,40,126.7,-3.61,0,9.5
QStE380TM,5,4,40,129.5,-3.35,0,9.9
QStE380TM,5,4,40,132.3,-3.08,0,10.4
QStE380TM,5,4,40,135,-2.85,0,10.9
QStE380TM,5,4,40,135.2,-2.83,0,10.9
QStE380TM,5,4,40,138.1,-2.59,0,11.6
QStE380TM,5,4,40,141,-2.35,0,12.3
QStE380TM,5,4,40,143.9,-2.13,0,12.7
QStE380TM,5,4,40,146.8,-1.91,0,14
QStE380TM,5,4,40,149.7,-1.71,0,16.2
QStE380TM,5,4,40,150,-1.69,0,16.2
QStE380TM,5,4,40,152.6,-1.51,0,18.2
QStE380TM,5,4,40,155.6,-1.32,0,20.2
QStE380TM,5,4,40,158.5,-1.14,0,23.4
QStE380TM,5,4,40,161.4,-0.97,0,26.7
QStE380TM,5,4,40,164.3,-0.8,0,38.4
QStE380TM,5,4,40,167.2,-0.64,0,50.1
QStE380TM,5,4,40,170.1,-0.48,0,61.7
QStE380TM,5,4,40,173.2,-0.32,0,104.9
QStE380TM,5,4,40,176,-0.19,0,148.2
QStE380TM,5,4,40,178.8,-0.06,0,193
QStE380TM,5,4,41.5,88,-9.48,-8.53,5.7
QStE380TM,5,4,41.5,90,-9.1,-9.1,5.7
QStE380TM,5,4,41.5,90.3,-9.04,0,5.7
QStE380TM,5,4,41.5,92.2,-8.63,0,5.8
QStE380TM,5,4,41.5,94.4,-8.19,0,5.9
QStE380TM,5,4,41.5,96.6,-7.76,0,6.2
QStE380TM,5,4,41.5,98.9,-7.33,0,6.3
QStE380TM,5,4,41.5,101.2,-6.93,0,6.4
QStE380TM,5,4,41.5,103.5,-6.55,0,6.5
QStE380TM,5,4,41.5,105,-6.32,0,6.9
QStE380TM,5,4,41.5,106,-6.17,0,6.9
QStE380TM,5,4,41.5,108.5,-5.8,0,7.1
QStE380TM,5,4,41.5,110.9,-5.45,0,7.2
QStE380TM,5,4,41.5,113.4,-5.12,0,7.4
QStE380TM,5,4,41.5,116,-4.8,0,7.7
QStE380TM,5,4,41.5,118.6,-4.49,0,8
QStE380TM,5,4,41.5,120,-4.33,0,8.3
QStE380TM,5,4,41.5,121.3,-4.18,0,8.3
QStE380TM,5,4,41.5,124,-3.89,0,9
QStE380TM,5,4,41.5,126.7,-3.61,0,9.5
QStE380TM,5,4,41.5,129.5,-3.35,0,9.9
QStE380TM,5,4,41.5,132.3,-3.08,0,10.4
QStE380TM,5,4,41.5,135,-2.85,0,10.9
QStE380TM,5,4,41.5,135.2,-2.83,0,10.9
QStE380TM,5,4,41.5,138.1,-2.59,0,11.6
QStE380TM,5,4,41.5,141,-2.35,0,12.3
QStE380TM,5,4,41.5,143.9,-2.13,0,12.7
QStE380TM,5,4,41.5,146.8,-1.91,0,14
QStE380TM,5,4,41.5,149.7,-1.71,0,16.2
QStE380TM,5,4,41.5,150,-1.69,0,16.2
QStE380TM,5,4,41.5,152.6,-1.51,0,18.2
QStE380TM,5,4,41.5,155.6,-1.32,0,20.2
QStE380TM,5,4,41.5,158.5,-1.14,0,23.4
QStE380TM,5,4,41.5,161.4,-0.97,0,26.7
QStE380TM,5,4,41.5,164.3,-0.8,0,38.4
QStE380TM,5,4,41.5,167.2,-0.64,0,50.1
QStE380TM,5,4,41.5,170.1,-0.48,0,61.7
QStE380TM,5,4,41.5,173.2,-0.32,0,104.9
QStE380TM,5,4,41.5,176,-0.19,0,148.2
QStE380TM,5,4,41.5,178.8,-0.06,0,193
QStE380TM,6,4,30,87.4,-10.8,-9.54,5.3
QStE380TM,6,4,30,90,-10.24,-10.24,5.5
QStE380TM,6,4,30,90.9,-10.05,0,5.5
QStE380TM,6,4,30,94.5,-9.26,0,5.8
QStE380TM,6,4,30,97.7,-8.59,0,6
QStE380TM,6,4,30,101.9,-7.78,0,6.2
QStE380TM,6,4,30,105,-7.25,0,6.8
QStE380TM,6,4,30,105.6,-7.15,0,6.8
